ngram,all,up,down,polarity,hawk/dov
교체수요/NNG,64,27.0,19.0,1.6163714789673909,hawkish
원샷법/NNG,64,6.0,31.0,0.22015095412459085,dovish
재정계획/NNG,64,32.0,25.0,1.4559316432772942,hawkish
경기/NNG;긍정적/VAX금리/NNG,64,0.5,64.0,0.00888630153367489,dovish
실적/NNG;늘/VV,64,17.0,32.0,0.6042685042898925,dovish
편집인/NNG,64,29.0,22.0,1.4993614224091456,hawkish
판매/NNG;급감/NNG,63,19.0,32.0,0.6753589165592917,dovish
선원/NNG,63,22.0,35.0,0.7149664319665284,dovish
자유예금/NNG,63,22.0,34.0,0.7359948564361322,dovish
진통제/NNG,63,31.0,27.0,1.305957203171184,hawkish
불안/NNG;높/VV,63,36.0,18.0,2.2748931926207723,hawkish
스타트업기업/NNG,63,34.0,20.0,1.9336592137276565,hawkish
fed/NNG;ff/NNG;금리/NNG;인하/NNG,63,30.0,21.0,1.6249237090148372,hawkish
유가/NNG;반등/NNG,63,12.0,25.0,0.5459743662289853,dovish
개발이익/NNG,63,22.0,34.0,0.7359948564361322,dovish
꼬임/NNG,63,28.0,22.0,1.447659304395037,hawkish
인플레이션/NNG;경기/NNG;둔화/NNG,63,33.0,24.0,1.563989069926781,hawkish
제트/NNG,63,18.0,27.0,0.7582977308735908,dovish
영업자금/NNG,63,19.0,33.0,0.6548934948453738,dovish
주택담보대출/NNG;확대/NNG,63,20.0,37.0,0.6148359980056142,dovish
건너뛰/VV,63,27.0,20.0,1.5355529050190213,hawkish
강하/VA;상승/NNG기자/NNG,63,27.0,20.0,1.5355529050190213,hawkish
실업률/NNG;하락/NNG;최저/NNG,63,27.0,18.0,1.7061698944655792,hawkish
비켜/VV,63,17.0,34.0,0.5687232981551931,dovish
주도력/NNG,63,36.0,19.0,2.155161971956521,hawkish
채여/VV,63,29.0,9.0,3.665105699222355,hawkish
수기/NNG,63,14.0,35.0,0.4549786385241545,dovish
펀더멘털/NNG;견조/NNG,63,27.0,22.0,1.3959571863809286,hawkish
이자수익/NNG;감소/NNG,63,21.0,33.0,0.7238296521975184,dovish
자공/NNG,63,18.0,28.0,0.7312156690566768,dovish
만기물별/NNG,63,33.0,20.0,1.876786883912137,hawkish
